month,genre1,genre2,genre3,genre4,genre5
2,Action,Crime,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Horror,Thriller,#N/A,#N/A,#N/A
2,Drama,SF,Thriller,#N/A,#N/A
2,Action,Fantasy,#N/A,#N/A,#N/A
2,Action,Adventure,Thriller,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Action,Drama,SF,#N/A,#N/A
2,Adventure,Comedy,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Crime,Drama,#N/A,#N/A,#N/A
2,Comedy,Drama,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Drama,#N/A,#N/A,#N/A,#N/A
2,Mystery,Thriller,#N/A,#N/A,#N/A
2,Horror,Comedy,#N/A,#N/A,#N/A
2,Comedy,#N/A,#N/A,#N/A,#N/A
2,Fantasy,Musical,#N/A,#N/A,#N/A
3,Fantasy,Adventure,Family,#N/A,#N/A
3,Crime,Comedy,#N/A,#N/A,#N/A
3,Drama,Mystery,Thriller,#N/A,#N/A
3,Action,Drama,Thriller,War,#N/A
3,Action,Crime,Thriller,#N/A,#N/A
3,Drama,Melodrama/Romance,War,#N/A,#N/A
3,Comedy,#N/A,#N/A,#N/A,#N/A
3,Action,SF,#N/A,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Melodrama/Romance,Comedy,#N/A,#N/A,#N/A
3,Melodrama/Romance,SF,Thriller,#N/A,#N/A
3,Drama,Fantasy,Melodrama/Romance,Thriller,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Mystery,Thriller,Crime,Horror,#N/A
3,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Mystery,#N/A,#N/A,#N/A,#N/A
3,Comedy,Drama,#N/A,#N/A,#N/A
3,Crime,Comedy,#N/A,#N/A,#N/A
3,Action,Fantasy,#N/A,#N/A,#N/A
3,SF,Action,#N/A,#N/A,#N/A
3,Drama,SF,Action,Thriller,#N/A
3,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Action,Adventure,SF,Thriller,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Comedy,Horror,Melodrama/Romance,#N/A,#N/A
3,Mystery,#N/A,#N/A,#N/A,#N/A
3,Fantasy,Adventure,Action,#N/A,#N/A
3,Drama,Action,Melodrama/Romance,#N/A,#N/A
3,Action,Adventure,SF,#N/A,#N/A
3,Adventure,Drama,Fantasy,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Action,Drama,War,#N/A,#N/A
3,Thriller,#N/A,#N/A,#N/A,#N/A
3,Comedy,Drama,#N/A,#N/A,#N/A
3,Crime,Thriller,#N/A,#N/A,#N/A
3,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Action,Crime,SF,Thriller,#N/A
3,Comedy,#N/A,#N/A,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,SF,Action,#N/A,#N/A,#N/A
3,Action,Adventure,Fantasy,SF,#N/A
3,Adventure,Fantasy,#N/A,#N/A,#N/A
3,Action,Crime,Thriller,#N/A,#N/A
3,Thriller,#N/A,#N/A,#N/A,#N/A
3,Fantasy,Musical,Melodrama/Romance,#N/A,#N/A
3,Crime,Action,#N/A,#N/A,#N/A
3,Action,SF,#N/A,#N/A,#N/A
3,Action,Adventure,Fantasy,SF,#N/A
3,Thriller,#N/A,#N/A,#N/A,#N/A
3,SF,Crime,Action,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Crime,#N/A,#N/A,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
3,Horror,Mystery,#N/A,#N/A,#N/A
3,Melodrama/Romance,#N/A,#N/A,#N/A,#N/A
3,Action,SF,Adventure,#N/A,#N/A
3,Thriller,#N/A,#N/A,#N/A,#N/A
3,Action,Adventure,SF,#N/A,#N/A
3,Action,Adventure,#N/A,#N/A,#N/A
3,Thriller,Drama,#N/A,#N/A,#N/A
3,Melodrama/Romance,Thriller,#N/A,#N/A,#N/A
3,Action,Adventure,SF,#N/A,#N/A
3,Crime,#N/A,#N/A,#N/A,#N/A
3,Thriller,Horror,#N/A,#N/A,#N/A
3,Action,Horror,Thriller,#N/A,#N/A
3,Family,Fantasy,#N/A,#N/A,#N/A
3,Drama,#N/A,#N/A,#N/A,#N/A
4,SF,Adventure,Action,#N/A,#N/A
4,Fantasy,Action,Adventure,Drama,#N/A
4,Drama,Action,#N/A,#N/A,#N/A
4,Mystery,#N/A,#N/A,#N/A,#N/A
4,Comedy,Crime,Thriller,#N/A,#N/A
